1,0.622
1,0.651
1,0.628
1,0.597
1,0.598
6,1.089
6,0.938
6,1.005
6,1.068
6,1.045
11,1.083
11,1.269
11,1.297
11,1.235
11,1.247
16,1.377
16,1.412
16,1.389
16,1.290
16,1.303
21,1.591
21,1.606
21,1.597
21,1.586
21,1.418
26,1.811
26,1.701
26,1.859
26,1.917
26,1.883
31,2.151
31,2.014
31,2.080
31,1.952
31,1.993
36,2.775
36,2.259
36,2.390
36,2.390
36,2.383
41,2.732
41,2.742
41,2.761
41,2.726
41,2.702
46,3.148
46,3.075
46,2.599
46,3.096
46,3.098
51,3.450
51,3.540
51,3.511
51,3.494
51,3.333
56,3.654
56,3.598
56,3.646
56,3.798
56,3.579
61,4.291
61,3.943
61,3.831
61,4.025
61,3.799
66,4.235
66,4.025
66,4.450
66,4.335
66,4.227
71,4.832
71,4.742
71,4.664
71,4.849
71,4.544
76,4.926
76,5.308
76,5.055
76,5.048
76,4.760
81,5.439
81,5.385
81,5.471
81,5.236
81,5.262
86,5.656
86,5.308
86,5.286
86,5.476
86,5.427
91,5.932
91,6.121
91,6.056
91,6.093
91,6.230
96,6.622
96,6.218
96,6.345
96,6.419
96,6.069
101,7.217
101,6.874
101,6.716
101,6.928
101,6.870
106,7.277
106,7.367
106,7.282
106,7.306
106,7.334
111,7.839
111,7.505
111,6.961
111,7.827
111,8.224
116,8.827
116,9.025
116,8.429
116,8.914
116,8.816
121,9.619
121,9.463
121,9.569
121,9.362
121,10.029
126,10.001
126,10.004
126,10.059
126,10.328
126,10.326
131,10.733
131,11.040
131,11.179
131,10.908
131,11.354
136,12.135
136,11.319
136,11.677
136,11.714
136,12.165
141,12.863
141,12.702
141,11.533
141,12.768
141,12.494
146,13.710
146,13.848
146,13.999
146,13.991
146,13.669
